recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,written_during_early_access,comment_count,steam_purchase,received_for_free
223232866,english,"While not at cinematic as BG3, I feel like the combat was more tactical. Split-Screen Coop worked really well. Can only recommend this game, especially if you enjoyed BG3.

After playing this, I was very excited that their upcoming game will be set in the same universe.

Since I am playing DOS1 via Steam Family Library, I can't post a review there, but in highnsight I can say that DOS1 is also worth playing, as the gameplay is very similar to DOS2 and doesn't feel outdated compared to DOS2. Just in case someone is wondering wheather to play DOS1 first. So consider picking up both in a bundle.
DOS1 runs on highest settings in FullHD (on my 4K TV) on Steam Deck, and Split-Screen Coop works really well.",1776161580,1776162827,True,0,0,0.5,False,0,True,False
223220490,english,"A perfect game, with a smooth and innovative RPG system. Lohse has one of the best character arcs I’ve seen in a video game in a long time.",1776138412,1776138412,True,0,0,0.5,False,0,True,False
223199003,english,"Is good, both for serious play and silly nonsense you can do, like barrelmancy",1776108735,1776108735,True,0,0,0.5,False,0,True,False
223185837,english,"I can’t believe how good this game is. It’s literally one of the best games I’ve ever played. The story is immense, rich, and powerful, with meaningful choices that truly impact the experience. The strategic turn-based combat and freedom in character development make every playthrough unique. A must-play for any RPG fan.",1776095214,1776095214,True,0,0,0.5,False,0,True,False
223117844,english,"Lots of problem solving. It's interesting to see that sometimes I get an answer that I was looking for when I was doing something entirely different.

One downside is that I tend to sit for a long time, don't want to get up, and now my back hurts. Although, to be fair I sit at work too and it may have started there.",1776009984,1776009984,True,0,1,0.5,False,0,True,False
223054078,english,"Great game, but it is quite clear that it is a predecessor to BG3 as you will notice how some game mechanics weren't as fleshed out as in the later release (if you're like me and played BG3 first).

Great game though.",1775941289,1775941289,True,0,0,0.5,False,0,True,False
223042611,english,"118 hours into this game and only got 1/2 through the game is fun.  I played a lot of RPG's and this one is one of my favorites.  It does have a learning curve, but it makes the game more fun.  A nice story plot with a lot of different items and spells in the game to make it fun.  You will run into some fights and battles which you will die a lot during the beginning, but as you level up and learn the mechanics of using environmental effect with weapons and surfaces you will begin to master the art of war with this game.

The turn based system is nice, you will have to master your skills with picking the right attributes to choose when leveling up to avoid wasting your turns and getting more AP to help win difficult battles.  I'm still having fun, and you can pick up this game and leave it without worrying about taking up too much of your time.  Take it slow, read all the books and enjoy the storyline.

One of the few 10/10 games out there, worth the money and time invested with DOS 2.  Have fun!",1775931489,1775931489,True,0,0,0.5,False,0,True,False
222995391,english,"Larian never hesitates to put 100% into their projects. Coming from BG3, this story is pretty dark, and I love it for not hesitating to be gut-wrenchingly horrifying at times. The world is very interesting and brings out a wide variety of emotions.",1775883965,1775883965,True,0,0,0.5,False,0,True,False
222994909,english,"Yo, I forgot to leave a review... played on release and its extraordinary...

Although BG3 ends up improving the formula in basically every way, there is something to be said about the combat/status/abilities in this game, which i found to be more fun than the adapted 5e of the latter.",1775883391,1775883671,True,0,0,0.5,False,0,True,False
222987291,english,"it is good game i got lost to many times so i drop it  
i wish at if the logs hints what to do next or something like it 
same  for original sin 1",1775873640,1775873640,True,0,0,0.5,False,0,True,False
